Acadia	#1B1404
Acapulco	#7CB0A1
Acorn	#6A5D1B
Aero Blue	#C9FFE5
Affair	#714693
Afghan Tan	#86560A
Akaroa	#D4C4A8
Alabaster	#FFFFFF
Albescent White	#F5E9D3
Alert Tan	#9B4703
Alice Blue	#F0F8FF
Alizarin Crimson	#E32636
Allports	#0076A3
Almond Frost	#907B71
Alpine	#AF8F2C
Alto	#DBDBDB
Aluminium	#A9ACB6
Amazon	#3B7A57
Americano	#87756E
Amethyst Smoke	#A397B4
Amour	#F9EAF3
Amulet	#7B9F80
Anakiwa	#9DE5FF
Antique Brass	#704A07
Antique White	#FAEBD7
Antique White 2	#FFEFDB
Antique White 3	#EEDFCC
Antique White 4	#CDC0B0
Antique White 5	#8B8378
Anzac	#E0B646
Apache	#DFBE6F
Apple	#4FA83D
Apple Blossom	#AF4D43
Apple Green	#E2F3EC
Apricot	#EB9373
Apricot White	#FFFEEC
Aqua	#A1DAD7
Aqua Haze	#EDF5F5
Aqua Spring	#EAF9F5
Aqua Squeeze	#E8F5F2
Aquamarine Dark	#014B43
Aquamarine 1	#7FFFD4
Aquamarine 2	#76EEC6
Aquamarine 3	#66CDAA
Aquamarine 4	#458B74
Arapawa	#110C6C
Armadillo	#433E37
Arrowtown	#948771
Ash	#C6C3B5
Ash Brown	#2E1905
Asphalt	#130A06
Astra	#FAEAB9
Astral	#327DA0
Astronaut	#283A77
Astronaut Blue	#013E62
Athens Gray	#EEF0F3
Aths Special	#ECEBCE
Atlantis	#97CD2D
Atoll	#0A6F75
Atomic	#314459
Au Chico	#97605D
Aubergine	#3B0910
Aureoline Yellow	#FFA824
Australian Mint	#F5FFBE
Avocado	#888D65
Axolotl	#4E6649
Azalea	#F7C8DA
Aztec	#0D1C19
Azure	#F0FFFF
Azure Blue	#315BA1
Azure2	#E0EEEE
Azure3	#C1CDCD
Azure4	#838B8B
Bahama Blue	#026395
Bahia	#A5CB0C
Baja White	#FFF8D1
Bali Hai	#859FAF
Baltic Sea	#2A2630
Bamboo	#DA6304
Banana	#E3CF57
Bandicoot	#858470
Banjul	#130A06
Barberry	#DED717
Barley Corn	#A68B5B
Barley White	#FFF4CE
Barossa	#44012D
Bastille	#292130
Battleship Gray	#828F72
Bay Leaf	#7DA98D
Bay Of Many	#273A81
Bazaar	#98777B
Bean	#3D0C02
Beauty Bush	#EEC1BE
Beeswax	#FEF2C7
Beige	#A39480
Beige2	#F5F5DC
Bermuda	#7DD8C6
Bermuda Gray	#6B8BA2
Beryl Green	#DEE5C0
Bianca	#FCFBF3
Big Stone	#162A40
Bilbao	#327C14
Biloba Flower	#B2A1EA
Birch	#373021
Bird Flower	#D4CD16
Biscay	#1B3162
Bismark	#497183
Bison Hide	#C1B7A4
Bisque 1	#FFE4C4
Bisque 2	#EED5B7
Bisque 3	#CDB79E
Bisque 4	#8B7D6B
Bitter	#868974
Bitter Lemon	#CAE00D
Bizarre	#EEDEDA
Black	#000000
Black Bean	#081910
Black Forest	#0B1304
Black Haze	#F6F7F7
Black Magic	#251706
Black Marlin	#3E2C1C
Black Pearl	#041322
Black Pepper	#0E0E18
Black Rock	#0D0332
Black Rose	#67032D
Black Russian	#0A001C
Black Squeeze	#F2FAFA
Black White	#FFFEF6
Blackberry	#4D0135
Blackcurrant	#32293A
Blackwood	#261105
Blanc	#F5E9D3
Blanched Almond	#FFEBCD
Bleach White	#FEF3D8
Bleached Cedar	#2C2133
Blossom	#DCB4BC
Blue	#0000FF
Blue Bark	#041322
Blue Bayoux	#496679
Blue Bell	#220878
Blue Chalk	#F1E9FF
Blue Charcoal	#010D1A
Blue Chill	#0C8990
Blue Diamond	#380474
Blue Dianne	#204852
Blue Gem	#2C0E8C
Blue Haze	#BFBED8
Blue Lagoon	#017987
Blue Light	#ADD8E6
Blue Marguerite	#7666C6
Blue Romance	#D2F6DE
Blue Smoke	#748881
Blue Stone	#016162
Blue Violet	#8A2BE2
Blue Whale	#042E4C
Blue Zodiac	#13264D
Blue 1	#0000FF
Blue 2	#0000EE
Blue 3	#0000CD
Blue 4	#00008B
Blumine	#18587A
Blush	#B44668
Bokara Gray	#1C1208
Bombay	#AFB1B8
Bon Jour	#E5E0E1
Bondi Blue	#02478E
Bone	#E4D1C0
Bordeaux	#5C0120
Bossanova	#4E2A5A
Boston Blue	#3B91B4
Botticelli	#C7DDE5
Bottle Green	#093624
Boulder	#7A7A7A
Bouquet	#AE809E
Bourbon	#BA6F1E
Bracken	#4A2A04
Brandy	#DEC196
Brandy Punch	#CD8429
Brandy Rose	#BB8983
Brazil	#886221
Breaker Bay	#5DA19F
Brick	#9C661F
Bridal Heath	#FFFAF4
Bridesmaid	#FEF0EC
Bright Gray	#3C4151
Bright Red	#B10000
Bright Sun	#FED33C
Bronco	#ABA196
Bronze	#3F2109
Bronze Olive	#4E420C
Bronzetone	#4D400F
Broom	#FFEC13
Brown	#A52A2A
Brown Bramble	#592804
Brown Derby	#492615
Brown 4	#802A2A
Brown Madder	#DB2929
Brown Ochre	#87421F
Brown Pod	#401801
Brown 1	#FF4040
Brown 2	#EE3B3B
Brown 3	#CD3333
Brown 5	#8B2323
Bubbles	#E7FEFF
Buccaneer	#622F30
Bud	#A8AE9C
Buddha Gold	#C1A004
Bulgarian Rose	#480607
Bull Shot	#864D1E
Bunker	#0D1117
Bunting	#151F4C
Burgundy	#770F05
Burlywood	#DEB887
Burlywood 1	#FFD39B
Burlywood 2	#EEC591
Burlywood 3	#CDAA7D
Burlywood 4	#8B7355
Burnham	#002E20
Burning Sand	#D99376
Burnt Crimson	#65000B
Burnt Sienna	#8A360F
Burnt Umber	#8A3324
Bush	#0D2E1C
Buttercup	#F3AD16
Buttered Rum	#A1750D
Butterfly Bush	#624E9A
Buttermilk	#FFF1B5
Buttery White	#FFFCEA
Cab Sav	#4D0A18
Cabaret	#D94972
Cabbage Pont	#3F4C3A
Cactus	#587156
Cadet	#5F9EA0
Cadet Blue	#5F9EA0
Cadet Blue 1	#98F5FF
Cadet Blue 2	#8EE5EE
Cadet Blue 3	#7AC5CD
Cadet Blue 4	#53868B
Cadillac	#B04C6A
Cadmium Lemon	#FFE303
Cadmium Orange	#FF6103
Cadmium Red Deep	#E3170D
Cadmium Red Light	#FF030D
Cadmium Yellow	#FF9912
Cadmium Yellow Light	#FFB00F
Cafe Royale	#6F440C
Calico	#E0C095
California	#FE9D04
Calypso	#31728D
Camarone	#00581A
Camelot	#893456
Cameo	#D9B99B
Camouflage	#3C3910
Can Can	#D591A4
Canary	#F3FB62
Candlelight	#FCD917
Cannon Black	#251706
Cannon Pink	#894367
Canvas	#A8A589
Cape Cod	#3C4443
Cape Honey	#FEE5AC
Cape Palliser	#A26645
Caper	#DCEDB4
Capri	#062A78
Caramel	#FFDDAF
Cararra	#EEEEE8
Cardin Green	#01361C
Cardinal	#8C055E
Careys Pink	#D29EAA
Carissma	#EA88A8
Carla	#F3FFD8
Carnaby Tan	#5C2E01
Carousel Pink	#F9E0ED
Carrot	#ED9121
Casablanca	#F8B853
Casal	#2F6168
Cascade	#8BA9A5
Cashmere	#E6BEA5
Casper	#ADBED1
Castro	#52001F
Catalina Blue	#062A78
Catskill White	#EEF6F7
Cavern Pink	#E3BEBE
Ce Soir	#9771B5
Cedar	#3E1C14
Cedar Wood Finish	#711A00
Celery	#B8C25D
Celeste	#D1D2CA
Cello	#1E385B
Celtic	#163222
Cement	#8D7662
Ceramic	#FCFFF9
Cerulean	#05B8CC
Chablis	#FFF4F3
Chalet Green	#516E3D
Chalky	#EED794
Chambray	#354E8C
Chamois	#EDDCB1
Champagne	#FAECCC
Chantilly	#F8C3DF
Charade	#292937
Chardon	#FFF3F1
Chardonnay	#FFCD8C
Charlotte	#BAEEF9
Charm	#D47494
Chartreuse	#7FFF00
Chartreuse 1	#7FFF00
Chartreuse 2	#76EE00
Chartreuse 3	#66CD00
Chartreuse 4	#458B00
Chateau Green	#40A860
Chatelle	#BDB3C7
Chathams Blue	#175579
Chelsea Cucumber	#83AA5D
Chelsea Gem	#9E5302
Chenin	#DFCD6F
Cherokee	#FCDA98
Cherry Pie	#2A0359
Cherrywood	#651A14
Cherub	#F8D9E9
Chetwode Blue	#8581D9
Chicago	#5D5C58
Chiffon	#F1FFC8
Chilean Fire	#F77703
Chilean Heath	#FFFDE6
China Ivory	#FCFFE7
Chino	#CEC7A7
Chinook	#A8E3BD
Chocolate	#D2691E
Chocolate Dark	#370202
Chocolate 1	#FF7F24
Chocolate 2	#EE7621
Chocolate 3	#CD661D
Chocolate 4	#8B4513
Christalle	#33036B
Christi	#67A712
Christine	#E7730A
Chrome Oxide Green	#668014
Chrome White	#E8F1D4
Cigar	#773F1A
Cinder	#0E0E18
Cinderella	#FDE1DC
Cinnabar Green	#61B329
Cinnamon	#7B3F00
Cioccolato	#55280C
Citrine White	#00F7D6
Citron	#9EA91F
Citrus	#A1C50A
Clairvoyant	#480656
Clam Shell	#D4B6AF
Claret	#7F1734
Classic Rose	#FBCCE7
Clay Creek	#8A8360
Clear Day	#E9FFFD
Clementine	#E96E00
Clinker	#371D09
Cloud	#C7C4BF
Cloud Burst	#202E54
Cloudy	#ACA59F
Clover	#384910
Cobalt	#3D59AB
Cobalt Dark	#062A78
Cobalt Green	#3D9140
Cobalt Violet Deep	#91219E
Cocoa Bean	#481C1C
Cocoa Brown	#301F1E
Coconut Cream	#F8F7DC
Cod Gray	#0B0B0B
Coffee	#706555
Coffee Bean	#2A140E
Cognac	#9F381D
Cola	#3F2500
Cold Gray	#808A87
Cold Purple	#ABA0D9
Cold Turkey	#CEBABA
Colonial White	#FFEDBC
Comet	#5C5D75
Como	#517C66
Conch	#C9D9D2
Concord	#7C7B7A
Concrete	#F2F2F2
Confetti	#E9D75A
Congo Brown	#593737
Conifer	#ACDD4D
Contessa	#C6726B
Copper Canyon	#7E3A15
Copper Rust	#944747
Coral	#FF7F50
Coral Bright	#C7BCA2
Coral Candy	#FFDCD6
Coral Light	#F08080
Coral Tree	#A86B6B
Coral 1	#FF7256
Coral 2	#EE6A50
Coral 3	#CD5B45
Coral 4	#8B3E2F
Corduroy	#606E68
Coriander	#C4D0B0
Cork	#40291D
Corn	#E7BF05
Corn Field	#F8FACD
Corn Harvest	#8B6B0B
Cornflower	#6495ED
Cornflower Blue	#6495ED
Cornflower Bright	#FFB0AC
Cornsilk	#FFF8DC
Cornsilk 1	#FFF8DC
Cornsilk 2	#EEE8CD
Cornsilk 3	#CDC8B1
Cornsilk 4	#8B8878
Corvette	#FAD3A2
Cosmic	#76395D
Cosmos	#FFD8D9
Costa Del Sol	#615D30
Cotton Seed	#C2BDB6
County Green	#01371A
Cove Gray	#051657
Cowboy	#4D282D
Crab Apple	#A02712
Crail	#B95140
Cranberry	#B6316C
Crater Brown	#462425
Cream Brulee	#FFE5A0
Cream Can	#F5C85C
Creme De Banane	#FFFC99
Creole	#1E0F04
Crete	#737829
Crocodile	#736D58
Crown Of Thorns	#771F1F
Crowshead	#1C1208
Cruise	#B5ECDF
Crusoe	#004816
Crusta	#FD7B33
Cuban Tan	#2A140E
Cumin	#924321
Cumulus	#FDFFD5
Cupid	#FBBEDA
Curious Blue	#2596D1
Cutty Sark	#507672
Cyan	#00FFFF
Cyan White	#E0FFFF
Cyan 1	#00FFFF
Cyan 2	#00EEEE
Cyan 3	#00CDCD
Cyan 4	#008B8B
Cyprus	#003E40
Daintree	#012731
Dairy Cream	#F9E4BC
Daisy Bush	#4F2398
Dallas	#6E4B26
Danube	#6093D1
Dark Blue	#00008B
Dark Cyan	#008B8B
Dark Ebony	#3C2005
Dark Goldenrod	#B8860B
Dark Goldenrod 1	#FFB90F
Dark Goldenrod 2	#EEAD0E
Dark Goldenrod 3	#CD950C
Dark Goldenrod 4	#8B6508
Dark Gray	#A9A9A9
Dark Green	#006400
Dark Khaki	#BDB76B
